,name,x,y,w,h
0,000000425988.jpg,265.6,166.27,242.04,173.49
1,000000425988.jpg,186.62,95.27,187.68,220.74
2,000000040971.jpg,260.44,159.03,228.04,181.55
3,000000434190.jpg,223.04,64.79,210.26,131.03
4,000000434190.jpg,159.22,152.34,132.37,238.11
5,000000270351.jpg,280.21,340.32,76.56,76.51
6,000000270351.jpg,496.67,334.2,80.3,85.62
7,000000270351.jpg,0.15,340.87,88.53,71.4
8,000000229396.jpg,240.1,157.61,16.58,9.91
9,000000466965.jpg,52.08,126.28,267.23,505.69
10,000000466965.jpg,215.97,11.31,71.11,122.38
11,000000016408.jpg,218.2,140.58,158.3,134.05
12,000000401434.jpg,18.63,118.1,461.26,294.43
13,000000106525.jpg,377.81,164.39,170.32,157.93
14,000000303133.jpg,81.03,83.01,316.94,134.46
15,000000417823.jpg,333.34,75.53,125.8,331.5
16,000000417823.jpg,1.83,0.52,120.05,148.88
17,000000417823.jpg,378.06,22.07,139.14,223.57
18,000000344096.jpg,273.28,107.1,72.26,113.81
19,000000475169.jpg,240.97,349.85,65.15,31.81
20,000000475169.jpg,204.44,327.5,66.3,36.29
21,000000475169.jpg,75.9,322.68,53.35,38.85
22,000000475169.jpg,68.82,345.94,25.69,25.7
23,000000475169.jpg,247.1,234.39,14.2,17.37
24,000000475169.jpg,28.85,243.46,34.28,13.28
25,000000475169.jpg,117.99,237.7,22.57,14.78
26,000000475169.jpg,155.88,243.8,20.33,14.49
27,000000475169.jpg,243.56,303.84,35.24,33.41
28,000000475169.jpg,170.72,304.1,26.47,21.67
29,000000475169.jpg,167.22,278.73,29.23,17.21
30,000000475169.jpg,270.99,344.14,54.49,20.97
31,000000475169.jpg,190.48,235.92,9.88,13.75
32,000000475169.jpg,207.08,285.01,21.35,24.76
33,000000475169.jpg,88.78,245.97,24.83,7.8
34,000000475169.jpg,218.14,300.62,44.32,16.88
35,000000475169.jpg,0.9,317.3,60.66,46.07
36,000000475169.jpg,0.0,234.0,332.0,135.0
37,000000188454.jpg,282.57,182.25,257.72,154.63
38,000000573479.jpg,321.24,145.38,235.66,230.96
39,000000573484.jpg,265.82,11.71,328.89,407.29
40,000000573484.jpg,291.05,157.91,92.81,249.6
41,000000573484.jpg,209.05,162.19,82.0,246.9
42,000000573484.jpg,143.13,151.7,70.76,168.79
43,000000573484.jpg,38.09,167.92,121.05,239.9
44,000000573484.jpg,59.92,170.03,125.79,248.97
45,000000573484.jpg,0.0,233.3,61.42,185.7
46,000000573484.jpg,236.18,154.96,106.95,264.04
47,000000573484.jpg,160.47,151.16,102.91,236.23
48,000000057390.jpg,192.65,66.79,389.58,297.96
49,000000221232.jpg,142.92,200.78,235.29,208.3
50,000000581686.jpg,272.37,263.23,138.92,161.77
51,000000581686.jpg,402.15,255.0,201.08,165.43
52,000000335929.jpg,246.98,91.17,101.88,210.13
53,000000335929.jpg,402.52,85.89,97.67,211.76
54,000000262201.jpg,310.25,204.96,29.25,54.48
55,000000303163.jpg,317.44,153.75,3.82,4.08
56,000000303163.jpg,324.5,212.73,8.59,7.01
57,000000303163.jpg,343.51,145.1,9.59,6.92
58,000000303163.jpg,325.36,142.41,6.29,3.44
59,000000303163.jpg,379.68,190.22,5.8,4.09
60,000000303163.jpg,370.99,203.73,3.37,4.02
61,000000303163.jpg,364.52,224.51,5.61,4.34
62,000000303163.jpg,370.6,244.8,5.69,4.82
63,000000303163.jpg,173.51,233.45,4.14,3.13
64,000000303163.jpg,185.07,211.69,3.23,4.52
65,000000303163.jpg,383.24,147.62,5.35,4.45
66,000000303163.jpg,351.88,238.91,3.77,3.07
67,000000303163.jpg,310.98,162.84,3.1,3.62
68,000000303163.jpg,168.0,140.0,261.0,110.0
69,000000262204.jpg,387.23,153.66,8.25,7.21
70,000000262204.jpg,272.45,149.4,23.85,13.04
71,000000254009.jpg,178.63,399.72,15.98,11.03
72,000000254009.jpg,123.37,398.99,18.72,11.27
73,000000254009.jpg,103.72,394.64,14.5,11.98
74,000000254009.jpg,264.92,391.35,20.74,8.72
75,000000442431.jpg,7.2,48.31,66.1,46.01
76,000000442431.jpg,257.81,0.39,104.1,80.53
77,000000442431.jpg,448.48,377.85,17.67,10.56
78,000000172096.jpg,102.02,512.01,52.43,72.13
79,000000163908.jpg,255.83,89.2,125.16,332.22
80,000000581702.jpg,93.95,176.98,457.75,265.47
81,000000139334.jpg,176.38,187.66,157.24,126.99
82,000000139334.jpg,317.2,123.66,174.2,162.36
83,000000139334.jpg,209.85,158.1,66.38,56.75
84,000000139334.jpg,110.75,279.57,70.97,58.06
85,000000139334.jpg,202.91,308.74,74.17,50.34
86,000000139334.jpg,283.5,317.13,49.58,37.5
87,000000139334.jpg,332.63,320.04,56.38,45.33
88,000000139334.jpg,217.04,302.47,83.54,40.19
89,000000139334.jpg,267.65,330.92,17.51,16.18
90,000000450631.jpg,187.31,47.53,98.55,147.47
91,000000524361.jpg,73.76,100.97,288.6,205.53
92,000000393292.jpg,264.87,253.96,52.18,58.7
93,000000393292.jpg,308.77,190.77,92.31,61.94
94,000000499789.jpg,50.9,355.96,42.14,35.37
95,000000499789.jpg,138.84,356.6,39.04,32.59
96,000000499789.jpg,172.24,375.08,21.03,20.54
97,000000499789.jpg,322.76,360.68,20.44,38.75
98,000000499789.jpg,26.26,353.05,10.43,35.06
99,000000548943.jpg,175.0,117.97,133.6,97.33
100,000000565332.jpg,269.15,156.36,25.66,39.45
101,000000491606.jpg,448.18,241.42,27.27,83.0
102,000000082007.jpg,219.19,201.14,151.36,165.77
103,000000532568.jpg,235.23,139.7,2.98,2.52
104,000000532568.jpg,244.29,135.44,6.26,5.33
105,000000532568.jpg,232.81,123.35,2.32,4.32
106,000000532568.jpg,424.63,158.99,4.38,2.92
107,000000532568.jpg,405.03,174.77,3.74,3.18
108,000000532568.jpg,394.6,170.79,1.7,3.3
109,000000532568.jpg,377.32,176.43,4.69,2.43
110,000000532568.jpg,370.72,172.53,2.6,2.71
111,000000532568.jpg,219.49,187.53,4.61,4.06
112,000000532568.jpg,240.52,196.63,4.7,3.6
113,000000532568.jpg,234.69,165.72,3.96,3.18
114,000000532568.jpg,224.41,125.42,4.07,3.82
115,000000532568.jpg,253.71,150.95,4.24,3.21
116,000000532568.jpg,395.75,131.08,2.57,2.76
117,000000532568.jpg,187.08,123.16,3.68,2.71
118,000000532568.jpg,159.56,229.05,2.8,2.62
119,000000532568.jpg,377.87,208.76,2.41,2.67
120,000000532568.jpg,229.2,158.69,2.25,1.88
121,000000532568.jpg,0.0,47.0,499.0,232.0
122,000000426073.jpg,286.2,153.76,190.98,101.54
123,000000426073.jpg,126.67,136.0,140.13,165.15
124,000000516186.jpg,178.16,287.93,120.6,339.9
125,000000368731.jpg,442.39,147.04,80.43,119.47
126,000000368731.jpg,209.02,127.49,106.49,152.32
127,000000172123.jpg,226.1,106.74,337.08,142.31
128,000000458846.jpg,126.97,169.51,5.72,7.24
129,000000458846.jpg,140.33,168.48,3.91,8.23
130,000000458846.jpg,407.35,212.3,10.17,11.03
131,000000458846.jpg,392.32,211.88,9.07,7.96
132,000000458846.jpg,321.55,202.25,6.72,4.64
133,000000458846.jpg,341.5,202.62,8.43,9.25
134,000000458846.jpg,429.13,217.5,10.97,9.02
135,000000458846.jpg,169.79,169.89,7.49,9.56
136,000000458846.jpg,149.74,167.68,6.51,9.91
137,000000458846.jpg,158.61,169.56,7.73,8.59
138,000000458846.jpg,185.39,171.36,5.31,6.13
139,000000458846.jpg,195.53,171.67,6.47,6.65
140,000000458846.jpg,279.12,177.61,8.25,6.91
141,000000458846.jpg,201.0,171.0,264.0,59.0
142,000000557150.jpg,272.93,12.37,41.93,40.39
143,000000557150.jpg,241.52,1.07,29.12,20.75
144,000000557150.jpg,340.85,50.52,171.51,162.87
145,000000180324.jpg,391.19,245.75,76.04,68.71
146,000000180324.jpg,176.81,255.98,47.64,65.96
147,000000409701.jpg,275.19,73.59,111.08,198.82
148,000000409701.jpg,6.32,9.09,199.29,130.52
149,000000409701.jpg,360.3,24.28,275.35,259.12
150,000000409701.jpg,141.35,30.63,185.75,118.09
151,000000082021.jpg,20.13,27.87,617.03,328.26
152,000000286823.jpg,331.94,122.35,63.07,96.7
153,000000278628.jpg,153.57,380.82,22.3,10.74
154,000000557163.jpg,499.01,308.75,8.1,8.09
155,000000557163.jpg,216.84,357.15,22.44,12.84
156,000000483442.jpg,463.97,99.03,8.96,5.54
157,000000483442.jpg,544.14,145.41,20.8,15.64
158,000000483442.jpg,586.11,133.48,4.86,6.68
159,000000483442.jpg,579.93,149.81,3.26,0.96
160,000000483442.jpg,618.41,140.45,8.2,14.67
161,000000483442.jpg,626.34,145.1,12.15,7.54
162,000000483442.jpg,508.25,143.28,19.56,12.59
163,000000483442.jpg,474.19,134.91,17.06,24.39
164,000000483442.jpg,467.02,145.29,12.95,10.28
165,000000483442.jpg,511.29,100.24,16.95,9.53
166,000000483442.jpg,496.08,102.25,14.47,7.79
167,000000483442.jpg,481.52,104.24,10.26,4.91
168,000000483442.jpg,557.47,55.72,10.86,7.85
169,000000483442.jpg,0.0,66.0,637.0,102.0
170,000000311412.jpg,90.12,123.13,502.67,361.77
171,000000262260.jpg,218.71,203.22,67.39,87.74
172,000000262260.jpg,371.9,202.94,72.55,93.66
173,000000262260.jpg,4.57,137.22,52.93,40.16
174,000000262260.jpg,210.11,188.32,44.58,34.92
175,000000262260.jpg,518.47,243.39,69.06,47.0
176,000000262260.jpg,497.11,227.94,30.82,37.61
177,000000319611.jpg,269.92,207.06,117.72,179.95
178,000000024699.jpg,153.19,44.03,4.75,4.36
179,000000024699.jpg,131.5,86.54,3.43,1.63
180,000000024699.jpg,204.91,86.34,3.92,2.88
181,000000024699.jpg,198.93,77.35,2.63,2.55
182,000000024699.jpg,278.03,25.19,4.23,4.84
183,000000024699.jpg,145.44,93.68,3.07,2.81
184,000000024699.jpg,213.46,56.69,2.57,2.8
185,000000024699.jpg,217.86,79.96,3.31,3.14
186,000000024699.jpg,288.65,24.82,3.08,4.54
187,000000024699.jpg,257.94,28.32,4.29,3.49
188,000000024699.jpg,51.64,130.03,7.33,9.77
189,000000024699.jpg,17.0,51.0,408.0,104.0
190,000000327805.jpg,26.9,80.62,78.62,37.24
191,000000221313.jpg,58.17,103.24,563.03,203.17
192,000000155777.jpg,68.82,139.01,411.18,269.76
193,000000254082.jpg,333.82,156.57,69.65,104.79
194,000000254082.jpg,95.52,178.44,66.45,61.27
195,000000254082.jpg,488.84,206.05,49.63,76.64
196,000000254082.jpg,590.14,224.25,49.86,73.44
197,000000254082.jpg,474.71,322.8,89.74,80.26
198,000000254082.jpg,548.23,313.37,91.77,112.63
199,000000254082.jpg,410.92,341.72,139.11,83.2
200,000000254082.jpg,285.97,384.66,49.57,41.1
201,000000254082.jpg,374.16,369.06,123.46,56.94
202,000000254082.jpg,489.85,282.52,86.66,41.96
203,000000254082.jpg,140.8,411.99,28.52,12.76
204,000000254082.jpg,318.45,383.88,63.17,42.12
205,000000254082.jpg,580.99,287.36,33.07,86.16
206,000000172162.jpg,16.4,321.11,35.07,34.56
207,000000344197.jpg,223.93,198.41,11.7,4.28
208,000000344197.jpg,228.52,195.29,5.04,3.42
209,000000344197.jpg,287.12,186.53,3.39,2.39
210,000000344197.jpg,41.88,274.57,9.83,7.82
211,000000344197.jpg,43.26,274.61,11.33,8.24
212,000000344197.jpg,206.65,237.0,16.15,11.74
213,000000344197.jpg,239.74,192.85,6.2,5.16
214,000000344197.jpg,225.96,244.92,13.84,8.87
215,000000344197.jpg,141.86,165.66,6.27,4.57
216,000000344197.jpg,39.0,181.0,260.0,115.0
217,000000319621.jpg,77.34,7.88,422.66,305.07
218,000000131207.jpg,214.37,168.31,72.82,189.43
219,000000131207.jpg,81.04,177.96,103.98,144.19
220,000000376972.jpg,497.19,184.45,12.31,10.6
221,000000270478.jpg,594.04,138.02,10.48,17.5
222,000000000143.jpg,426.88,192.47,131.18,176.35
223,000000000143.jpg,128.19,104.46,95.77,167.42
224,000000000143.jpg,265.59,126.88,100.0,162.77
225,000000000143.jpg,243.53,271.01,96.99,120.69
226,000000000143.jpg,114.08,319.22,92.28,161.25
227,000000000143.jpg,35.96,20.22,95.5,133.71
228,000000000143.jpg,120.18,237.43,114.24,134.32
229,000000000143.jpg,468.71,320.79,94.24,154.59
230,000000278673.jpg,273.12,299.71,42.73,58.29
231,000000278673.jpg,219.38,301.44,39.84,65.44
232,000000278673.jpg,323.86,319.7,53.28,69.71
233,000000278673.jpg,192.42,262.28,31.96,46.57
234,000000278673.jpg,374.71,177.88,51.1,54.09
235,000000278673.jpg,416.51,15.27,29.99,45.87
236,000000344214.jpg,127.97,84.12,260.9,234.61
237,000000344214.jpg,158.39,61.49,162.48,118.35
238,000000344214.jpg,319.94,37.51,88.25,191.23
239,000000360610.jpg,611.5,157.76,23.56,7.03
240,000000458914.jpg,113.95,322.87,33.42,33.0
241,000000172196.jpg,550.88,162.7,14.85,11.47
242,000000090278.jpg,305.3,156.47,61.34,75.62
243,000000254119.jpg,214.75,240.96,72.2,50.12
244,000000540846.jpg,414.99,114.8,47.73,20.84
245,000000123055.jpg,80.06,93.87,409.52,269.63
246,000000123055.jpg,17.61,293.1,213.67,133.9
247,000000123055.jpg,351.86,331.34,214.42,89.8
248,000000262323.jpg,141.61,124.47,143.43,108.29
249,000000393396.jpg,411.11,27.71,10.55,4.93
250,000000581815.jpg,240.11,173.84,49.4,36.86
251,000000581815.jpg,127.29,188.58,40.95,42.31
252,000000581815.jpg,402.73,169.81,44.57,38.18
253,000000581815.jpg,283.74,186.62,49.7,36.76
254,000000581815.jpg,183.71,120.47,53.74,44.54
255,000000581815.jpg,319.36,150.2,41.89,41.89
256,000000581815.jpg,522.0,152.28,44.13,45.09
257,000000581815.jpg,375.44,132.47,43.85,41.38
258,000000581815.jpg,460.49,178.34,48.94,46.4
259,000000581815.jpg,258.76,207.72,41.74,32.58
260,000000581815.jpg,356.45,122.73,34.82,45.88
261,000000581815.jpg,473.99,132.68,49.0,42.88
262,000000581815.jpg,432.77,209.17,34.62,49.05
263,000000581815.jpg,173.16,143.03,50.5,51.37
264,000000581815.jpg,18.0,128.0,621.0,114.0
265,000000229563.jpg,166.51,214.22,110.72,246.82
266,000000532667.jpg,241.85,129.02,32.01,61.61
267,000000147646.jpg,19.37,285.66,6.95,10.48
268,000000516289.jpg,166.9,343.11,67.15,72.89
269,000000516289.jpg,408.35,292.54,36.48,74.68
270,000000516289.jpg,258.36,311.46,91.74,83.97
271,000000516289.jpg,552.38,265.42,51.72,64.99
272,000000073922.jpg,136.21,200.89,251.31,111.92
273,000000073922.jpg,386.46,98.46,148.89,204.85
274,000000434379.jpg,272.56,114.82,280.0,135.82
275,000000434379.jpg,1.83,28.43,286.19,142.64
276,000000114898.jpg,150.6,16.53,467.4,405.88
277,000000303318.jpg,192.35,142.89,165.79,238.14
278,000000016599.jpg,268.27,264.77,8.3,6.27
279,000000147675.jpg,335.53,175.83,119.22,74.44
280,000000147675.jpg,205.08,78.45,130.75,132.13
281,000000147675.jpg,17.82,126.99,127.45,78.12
282,000000147675.jpg,138.23,26.98,105.67,167.51
283,000000147675.jpg,410.68,230.79,98.42,75.09
284,000000147675.jpg,345.46,219.05,47.93,86.27
285,000000254172.jpg,25.89,59.46,92.82,85.85
286,000000188637.jpg,144.21,221.94,134.59,127.73
287,000000344284.jpg,76.74,277.82,17.73,28.06
288,000000499931.jpg,543.46,211.27,14.22,10.36
289,000000106722.jpg,587.47,348.02,8.04,18.3
290,000000303330.jpg,397.4,244.89,33.46,29.94
291,000000188646.jpg,80.98,131.6,215.34,137.12
292,000000188646.jpg,337.11,122.17,188.51,119.72
293,000000188646.jpg,123.83,120.3,104.99,76.6
294,000000516328.jpg,39.14,102.8,559.31,375.96
295,000000155885.jpg,77.94,269.37,24.38,16.97
296,000000155885.jpg,72.45,225.26,19.02,21.03
297,000000155885.jpg,454.02,205.97,15.04,13.98
298,000000155885.jpg,353.88,195.57,19.23,20.66
299,000000155885.jpg,253.93,140.92,30.07,7.98
300,000000155885.jpg,322.94,53.23,15.35,10.6
301,000000155885.jpg,104.84,290.95,13.37,16.05
302,000000155885.jpg,439.57,44.27,8.15,3.95
303,000000155885.jpg,118.73,185.05,23.52,10.4
304,000000155885.jpg,411.75,197.93,18.33,25.23
305,000000155885.jpg,307.52,318.51,13.13,15.03
306,000000155885.jpg,300.22,298.95,17.69,14.92
307,000000155885.jpg,331.47,309.46,12.34,7.46
308,000000155885.jpg,357.34,307.17,14.72,8.14
309,000000155885.jpg,192.79,179.46,19.62,11.52
310,000000155885.jpg,61.0,8.0,410.0,309.0
311,000000295150.jpg,247.25,54.02,235.1,277.98
312,000000172271.jpg,445.04,234.37,6.65,6.14
313,000000172271.jpg,279.71,253.09,4.43,5.69
314,000000188660.jpg,123.24,295.3,78.82,66.11
315,000000188660.jpg,58.8,287.27,91.38,71.11
316,000000188660.jpg,453.77,322.8,118.82,71.28
317,000000188660.jpg,107.92,225.24,113.07,78.12
318,000000188660.jpg,231.67,271.41,107.19,80.39
319,000000188660.jpg,371.53,273.28,121.85,73.18
