,name,x,y,w,h
0,000000163840.jpg,134.99,194.16,214.84,369.24
1,000000286724.jpg,86.17,90.95,185.73,293.92
2,000000286724.jpg,232.13,187.09,146.67,197.11
3,000000286724.jpg,311.59,17.79,315.45,387.57
4,000000303111.jpg,341.17,226.01,172.19,154.98
5,000000303111.jpg,33.82,169.55,158.96,149.7
6,000000548875.jpg,226.52,281.53,73.35,77.66
7,000000548875.jpg,258.09,196.25,120.45,159.53
8,000000548875.jpg,351.61,202.67,63.39,143.44
9,000000548875.jpg,400.56,181.18,197.53,157.12
10,000000548875.jpg,69.36,145.76,173.41,233.06
11,000000548875.jpg,209.61,258.91,42.26,102.41
12,000000548875.jpg,414.42,250.41,49.2,91.75
13,000000548875.jpg,248.47,258.95,55.77,95.82
14,000000393228.jpg,84.63,201.48,196.19,122.14
15,000000393228.jpg,309.93,266.51,106.39,56.62
16,000000393228.jpg,420.31,243.01,134.0,75.76
17,000000294925.jpg,417.46,191.74,133.02,156.99
18,000000294925.jpg,57.96,199.16,103.88,155.5
19,000000294925.jpg,140.22,180.13,190.93,169.35
20,000000294925.jpg,348.11,229.73,75.67,103.78
21,000000294925.jpg,283.05,283.38,80.49,53.39
22,000000294925.jpg,272.49,219.35,83.33,76.2
23,000000294925.jpg,527.64,178.38,14.88,13.27
24,000000229396.jpg,336.05,316.01,54.08,52.79
25,000000229396.jpg,464.52,283.01,82.84,100.43
26,000000229396.jpg,438.39,285.14,35.26,89.74
27,000000229396.jpg,347.89,292.98,50.78,69.34
28,000000401433.jpg,143.46,351.64,403.42,128.36
29,000000499738.jpg,108.89,243.28,257.76,234.33
30,000000499738.jpg,509.93,282.41,91.6,73.71
31,000000499738.jpg,44.16,283.6,79.13,62.23
32,000000499738.jpg,57.38,321.93,250.23,153.99
33,000000221212.jpg,114.8,145.15,259.73,444.84
34,000000237597.jpg,140.42,57.62,410.5,414.85
35,000000385057.jpg,1.59,439.41,501.41,200.59
36,000000303140.jpg,76.22,38.11,396.61,459.73
37,000000221223.jpg,417.78,350.55,92.0,74.31
38,000000041001.jpg,228.8,69.88,385.79,262.3
39,000000041001.jpg,135.33,127.8,263.03,193.46
40,000000041001.jpg,74.13,249.05,122.78,87.03
41,000000221234.jpg,338.2,259.16,39.57,49.33
42,000000327735.jpg,166.9,409.8,311.77,121.78
43,000000417848.jpg,66.64,339.04,77.37,50.88
44,000000417848.jpg,125.49,292.36,41.74,43.09
45,000000417848.jpg,474.99,281.03,22.56,26.48
46,000000417848.jpg,392.89,299.8,9.77,20.49
47,000000417848.jpg,345.55,294.58,25.39,36.76
48,000000417848.jpg,440.83,388.38,78.43,55.24
49,000000417848.jpg,565.65,385.19,65.98,51.5
50,000000417848.jpg,554.86,297.75,37.09,25.74
51,000000417848.jpg,279.27,455.06,134.65,18.71
52,000000417848.jpg,433.22,291.14,7.33,20.57
53,000000417848.jpg,373.01,284.04,22.91,35.91
54,000000417848.jpg,520.3,380.98,44.11,54.28
55,000000417848.jpg,479.32,370.09,64.97,41.64
56,000000417848.jpg,22.0,193.0,617.0,286.0
57,000000434234.jpg,71.19,69.03,357.03,385.08
58,000000262204.jpg,169.44,124.45,281.45,161.78
59,000000262204.jpg,128.92,214.63,56.94,40.67
60,000000000061.jpg,370.11,248.9,83.09,47.64
61,000000000061.jpg,223.25,250.1,141.92,77.71
62,000000303177.jpg,136.03,57.91,187.55,259.19
63,000000303177.jpg,327.54,72.47,162.15,252.51
64,000000090196.jpg,168.24,161.25,110.42,116.92
65,000000098394.jpg,20.15,147.28,155.43,193.81
66,000000098394.jpg,139.58,229.62,61.58,100.34
67,000000098394.jpg,187.27,190.2,79.55,142.3
68,000000098394.jpg,245.06,243.65,52.69,89.82
69,000000098394.jpg,273.79,173.27,112.96,180.93
70,000000098394.jpg,354.04,153.51,103.62,182.3
71,000000098394.jpg,408.99,198.9,102.09,167.93
72,000000098394.jpg,486.46,190.9,43.27,58.91
73,000000098394.jpg,513.35,195.97,36.24,59.83
74,000000098394.jpg,559.24,203.3,37.69,59.45
75,000000098394.jpg,546.7,189.07,34.85,70.05
76,000000180315.jpg,87.37,139.15,331.15,294.47
77,000000245852.jpg,0.0,96.36,316.4,477.48
78,000000245852.jpg,2.88,14.38,316.4,516.32
79,000000581726.jpg,14.36,23.93,622.25,395.37
80,000000385119.jpg,284.32,71.8,192.42,235.49
81,000000385119.jpg,194.09,130.69,124.04,159.31
82,000000385119.jpg,179.61,189.58,92.31,85.94
83,000000434270.jpg,166.11,175.89,234.07,297.71
84,000000368738.jpg,49.55,64.79,218.19,235.34
85,000000147556.jpg,179.78,231.55,286.2,401.26
86,000000147556.jpg,71.75,264.51,152.11,347.27
87,000000573544.jpg,0.0,0.0,543.64,480.0
88,000000499826.jpg,103.83,87.55,184.26,281.98
89,000000499826.jpg,407.19,0.0,232.81,446.89
90,000000499826.jpg,266.71,57.01,177.13,365.45
91,000000499826.jpg,234.78,175.0,47.94,99.98
92,000000122996.jpg,116.25,31.22,367.06,447.78
93,000000122996.jpg,2.15,1.07,137.47,472.56
94,000000122998.jpg,132.02,196.52,209.5,311.39
95,000000041082.jpg,94.71,97.94,511.21,366.99
96,000000041082.jpg,0.0,0.73,442.99,320.0
97,000000155776.jpg,262.57,0.96,377.43,421.27
98,000000155776.jpg,130.72,59.94,36.38,168.04
99,000000155776.jpg,369.44,133.33,113.02,132.9
100,000000155776.jpg,0.0,1.67,280.88,341.06
101,000000483458.jpg,93.77,177.31,248.37,157.98
102,000000409731.jpg,30.08,63.92,488.82,290.79
103,000000409731.jpg,10.79,129.56,55.61,226.58
104,000000409731.jpg,13.08,111.18,41.14,34.95
105,000000344197.jpg,15.54,291.87,99.97,57.44
106,000000344197.jpg,322.74,293.73,58.64,47.41
107,000000344197.jpg,292.27,266.64,82.67,65.37
108,000000344197.jpg,371.8,227.09,245.09,164.72
109,000000344197.jpg,255.57,313.6,52.59,72.48
110,000000344197.jpg,145.87,246.86,133.4,154.59
111,000000344197.jpg,266.76,250.23,31.95,55.86
112,000000016518.jpg,0.0,119.94,293.62,238.93
113,000000016518.jpg,207.04,129.3,319.19,236.85
114,000000016518.jpg,0.96,0.0,284.03,168.72
115,000000016518.jpg,436.94,0.02,203.06,243.16
116,000000385157.jpg,203.63,197.28,204.36,392.93
117,000000385157.jpg,10.04,0.0,335.79,589.7
118,000000188552.jpg,244.14,176.48,134.03,191.48
119,000000188552.jpg,26.14,171.06,172.35,242.06
120,000000188552.jpg,370.64,188.28,106.99,168.12
121,000000188552.jpg,492.1,168.61,101.57,170.23
122,000000188552.jpg,198.41,192.64,55.21,100.73
123,000000221328.jpg,2.88,1.02,387.66,392.46
124,000000303257.jpg,66.21,15.24,476.9,374.23
125,000000303257.jpg,0.0,62.0,65.44,113.52
126,000000303257.jpg,0.53,156.22,80.34,99.41
127,000000303257.jpg,572.85,0.96,66.21,155.45
128,000000303257.jpg,26.93,1.44,239.46,176.96
129,000000303257.jpg,265.2,0.64,217.33,72.76
130,000000303257.jpg,0.0,0.5,50.47,80.4
131,000000286874.jpg,128.65,128.11,336.21,277.84
132,000000532644.jpg,1.08,84.3,514.44,353.01
133,000000532644.jpg,456.82,128.72,183.18,209.02
134,000000213158.jpg,179.03,9.57,355.2,410.73
135,000000450728.jpg,166.01,94.26,114.33,136.21
136,000000270505.jpg,196.71,116.11,290.74,278.27
137,000000139436.jpg,113.62,27.42,283.32,550.83
138,000000229550.jpg,101.79,122.43,231.18,206.41
139,000000229550.jpg,331.75,123.04,212.48,209.23
140,000000401583.jpg,36.59,21.47,480.0,455.46
141,000000426161.jpg,264.67,140.87,239.46,276.12
142,000000549042.jpg,79.1,33.08,375.37,599.73
