,name,x,y,w,h
0,000000565248.jpg,73.59,392.83,320.27,89.13
1,000000565248.jpg,127.03,328.95,378.83,154.05
2,000000188426.jpg,117.11,121.94,365.83,281.64
3,000000450577.jpg,41.94,60.48,358.87,245.97
4,000000221202.jpg,427.58,243.14,118.9,135.68
5,000000221202.jpg,344.92,243.93,74.88,115.32
6,000000221202.jpg,261.8,261.8,54.23,89.69
7,000000221202.jpg,185.36,262.01,55.93,77.81
8,000000368667.jpg,178.43,121.48,93.62,69.41
9,000000368667.jpg,55.33,136.08,100.05,55.44
10,000000368667.jpg,482.2,134.24,30.7,21.25
11,000000368667.jpg,247.99,135.24,39.5,42.79
12,000000368667.jpg,570.65,135.15,35.64,21.2
13,000000368667.jpg,5.22,140.28,28.98,19.42
14,000000368667.jpg,341.95,135.68,12.65,6.84
15,000000368667.jpg,445.73,125.78,8.63,13.57
16,000000368667.jpg,170.91,136.51,8.84,6.38
17,000000368667.jpg,487.33,123.11,14.7,12.31
18,000000450592.jpg,404.73,141.48,117.61,189.4
19,000000450592.jpg,527.8,148.2,90.13,185.47
20,000000450592.jpg,332.65,155.86,106.11,178.72
21,000000352290.jpg,150.03,137.04,236.58,183.69
22,000000319522.jpg,286.4,213.26,66.67,38.98
23,000000319522.jpg,83.65,200.32,66.21,32.36
24,000000319522.jpg,348.88,212.98,24.26,35.21
25,000000319522.jpg,480.15,208.01,32.53,34.73
26,000000090148.jpg,119.45,207.9,167.78,216.1
27,000000090148.jpg,580.12,221.79,37.49,59.38
28,000000090148.jpg,30.29,189.17,26.32,22.87
29,000000090148.jpg,240.26,230.12,188.55,183.76
30,000000081954.jpg,64.99,533.77,82.23,82.23
31,000000081954.jpg,140.84,529.57,81.34,83.27
32,000000081954.jpg,418.67,532.04,117.5,83.79
33,000000081954.jpg,202.2,542.6,37.07,70.56
34,000000442414.jpg,411.5,176.22,157.34,354.62
35,000000000049.jpg,162.57,226.56,130.41,184.43
36,000000000049.jpg,81.7,244.94,83.71,158.2
37,000000237618.jpg,360.76,165.55,258.63,205.92
38,000000237618.jpg,178.16,193.39,220.33,178.16
39,000000041011.jpg,159.14,167.41,249.46,325.81
40,000000106545.jpg,439.02,122.86,74.07,47.46
41,000000106545.jpg,317.12,130.41,70.97,41.18
42,000000122934.jpg,319.6,138.05,301.29,228.03
43,000000041020.jpg,115.28,104.75,309.65,463.8
44,000000532540.jpg,333.58,86.13,132.23,181.06
45,000000532540.jpg,408.15,101.0,131.46,182.83
46,000000532540.jpg,528.4,118.92,71.46,168.74
47,000000188478.jpg,308.92,50.54,331.08,301.99
48,000000188478.jpg,130.25,92.8,289.8,264.57
49,000000532543.jpg,0.0,45.74,551.21,434.04
50,000000532543.jpg,279.15,187.36,248.2,292.27
51,000000286793.jpg,448.0,138.32,135.23,149.68
52,000000286793.jpg,76.39,144.58,121.8,133.17
53,000000286793.jpg,216.67,152.1,63.29,123.46
54,000000081995.jpg,189.61,147.51,271.97,221.04
55,000000532555.jpg,2.06,139.93,458.41,299.1
56,000000442445.jpg,30.9,130.76,284.69,376.27
57,000000442445.jpg,551.94,182.94,31.01,52.01
58,000000442445.jpg,410.24,377.89,229.35,134.08
59,000000442445.jpg,325.27,186.09,58.66,98.51
60,000000442445.jpg,365.44,190.38,45.26,106.39
61,000000442445.jpg,475.55,178.14,79.57,91.27
62,000000442445.jpg,399.17,176.38,67.61,82.63
63,000000467027.jpg,40.27,89.17,325.03,513.44
64,000000327766.jpg,50.85,80.21,131.05,155.4
65,000000229463.jpg,55.91,41.94,277.09,448.38
66,000000499799.jpg,337.35,144.85,117.53,116.32
67,000000434262.jpg,601.54,301.09,25.75,59.53
68,000000540762.jpg,264.51,176.72,365.0,300.32
69,000000540762.jpg,344.05,208.06,295.95,289.54
70,000000286813.jpg,4.15,210.19,323.45,237.41
71,000000286813.jpg,535.74,267.35,104.26,166.2
72,000000196706.jpg,3.65,9.67,501.61,409.49
73,000000196706.jpg,497.2,107.85,142.8,311.67
74,000000426094.jpg,213.76,142.86,244.91,175.09
75,000000467063.jpg,340.34,182.79,202.22,127.78
76,000000237689.jpg,190.22,180.89,209.32,132.57
77,000000237689.jpg,512.77,175.92,127.23,118.97
78,000000303227.jpg,162.58,158.67,231.19,262.2
79,000000041085.jpg,147.92,319.32,82.03,153.65
80,000000163965.jpg,240.82,110.42,50.77,37.75
81,000000319615.jpg,311.71,267.43,107.9,156.57
82,000000319615.jpg,451.38,172.46,36.12,79.35
83,000000319615.jpg,306.28,175.87,39.24,102.41
84,000000319615.jpg,391.41,150.27,28.21,31.93
85,000000106624.jpg,312.72,168.8,31.94,62.49
86,000000106624.jpg,272.14,158.1,38.73,75.07
87,000000106624.jpg,233.82,156.8,35.92,74.08
88,000000540799.jpg,298.27,123.5,100.39,237.28
89,000000540799.jpg,182.71,122.96,72.23,178.17
90,000000540799.jpg,253.17,121.29,33.17,157.66
91,000000540799.jpg,115.42,121.08,76.58,183.37
92,000000540799.jpg,375.22,121.75,68.7,209.97
93,000000376961.jpg,190.87,193.19,203.85,98.21
94,000000376961.jpg,128.58,192.08,112.1,69.92
95,000000262275.jpg,0.0,49.36,303.53,457.02
96,000000401539.jpg,48.82,112.41,146.47,121.76
97,000000401539.jpg,169.17,110.82,62.98,113.04
98,000000401539.jpg,315.59,131.34,89.24,92.1
99,000000401539.jpg,396.26,129.91,68.71,85.24
100,000000401539.jpg,462.83,136.05,45.35,80.88
101,000000401539.jpg,518.01,161.54,47.28,49.32
102,000000401539.jpg,570.1,157.51,49.01,53.35
103,000000401539.jpg,209.38,129.82,80.57,80.81
104,000000401539.jpg,222.82,124.04,131.59,99.65
105,000000401539.jpg,500.12,156.46,40.61,53.56
106,000000401539.jpg,197.82,122.82,39.55,87.85
107,000000401539.jpg,346.74,135.03,20.43,17.41
108,000000401539.jpg,434.34,134.93,42.05,72.04
109,000000401539.jpg,1.0,131.0,638.0,107.0
110,000000311428.jpg,446.97,217.81,166.19,132.13
111,000000155782.jpg,217.74,54.23,268.55,308.87
112,000000327811.jpg,452.75,116.07,52.35,37.61
113,000000360585.jpg,178.38,188.65,160.0,257.3
114,000000360585.jpg,315.84,196.47,174.33,244.29
115,000000475277.jpg,54.68,36.18,585.32,426.82
116,000000524431.jpg,213.57,184.45,67.96,226.52
117,000000041104.jpg,24.95,107.25,241.65,478.05
118,000000041104.jpg,230.65,107.59,123.18,480.95
119,000000041104.jpg,323.19,123.78,134.78,438.71
120,000000041104.jpg,457.25,162.4,110.62,326.49
121,000000401551.jpg,36.14,246.16,36.32,21.34
122,000000401551.jpg,455.58,238.66,31.8,27.29
123,000000401551.jpg,140.21,245.22,48.62,28.75
124,000000401551.jpg,263.87,237.89,163.8,27.7
125,000000401551.jpg,297.75,239.77,34.64,25.98
126,000000401551.jpg,364.76,242.17,23.96,23.46
127,000000401551.jpg,340.25,239.83,26.31,25.58
128,000000401551.jpg,424.19,242.79,24.57,22.57
129,000000401551.jpg,195.06,247.42,41.75,14.48
130,000000401551.jpg,571.58,239.42,13.61,24.57
131,000000401551.jpg,602.47,240.51,34.59,24.09
132,000000401551.jpg,415.5,256.96,27.16,7.63
133,000000401551.jpg,9.76,243.45,27.56,21.84
134,000000401551.jpg,9.0,239.0,565.0,28.0
135,000000491666.jpg,103.54,105.07,264.82,316.13
136,000000491666.jpg,230.42,3.79,408.71,416.94
137,000000139409.jpg,433.91,252.0,47.35,135.2
138,000000237715.jpg,220.43,0.51,179.12,375.05
139,000000237715.jpg,13.13,1.4,223.26,261.79
140,000000237715.jpg,514.63,0.66,118.96,281.99
141,000000442523.jpg,91.37,266.66,45.76,33.04
142,000000114843.jpg,46.72,99.11,456.08,371.81
143,000000114846.jpg,243.31,223.45,104.65,80.25
144,000000303267.jpg,94.22,234.58,119.91,81.37
145,000000303267.jpg,46.96,247.92,46.06,62.97
146,000000581795.jpg,198.19,349.59,100.48,260.13
147,000000229552.jpg,456.38,107.44,141.42,247.93
148,000000229552.jpg,95.3,111.79,139.28,277.64
149,000000229552.jpg,68.44,147.64,68.04,200.29
150,000000581813.jpg,329.29,194.06,104.26,65.04
151,000000581813.jpg,191.68,151.08,72.38,43.31
152,000000360630.jpg,478.47,268.22,107.46,97.73
153,000000565431.jpg,428.74,166.93,43.88,48.45
154,000000565431.jpg,530.04,169.21,75.76,40.86
155,000000123069.jpg,60.22,196.85,154.83,194.62
156,000000123069.jpg,153.61,195.35,180.01,226.37
157,000000016574.jpg,283.42,164.96,38.43,91.9
158,000000016574.jpg,556.65,163.82,52.44,83.1
159,000000016574.jpg,59.76,165.71,35.79,94.53
160,000000016574.jpg,186.09,169.82,37.71,88.65
161,000000016574.jpg,359.94,155.17,43.66,100.3
162,000000016574.jpg,481.73,163.72,30.97,86.62
163,000000458946.jpg,0.96,1.86,556.91,421.26
164,000000295107.jpg,118.37,148.65,196.81,452.81
165,000000319682.jpg,171.25,104.49,255.75,409.25
166,000000319682.jpg,12.89,45.95,319.28,587.03
167,000000319682.jpg,289.08,304.9,135.19,335.1
168,000000434377.jpg,82.74,123.83,21.42,21.14
169,000000434377.jpg,130.35,127.05,28.65,20.2
170,000000057550.jpg,42.97,74.6,366.58,225.79
171,000000499918.jpg,154.83,166.74,113.6,105.35
172,000000499918.jpg,427.83,170.4,43.06,71.46
173,000000499918.jpg,274.91,161.23,53.19,27.64
174,000000041174.jpg,266.58,220.0,141.13,145.74
175,000000041174.jpg,35.74,289.5,128.01,62.64
176,000000401625.jpg,113.49,40.4,251.99,379.91
177,000000082138.jpg,229.43,63.17,154.57,213.36
178,000000082138.jpg,319.53,138.44,180.47,187.83
179,000000491739.jpg,244.3,140.6,160.31,233.79
180,000000491739.jpg,350.09,111.57,191.4,272.19
181,000000491739.jpg,120.64,149.46,136.93,200.12
182,000000491739.jpg,432.48,161.34,184.85,214.04
183,000000524508.jpg,100.14,198.34,127.03,90.93
184,000000524508.jpg,465.97,201.11,35.41,38.14
185,000000524508.jpg,500.14,200.18,52.8,37.76
186,000000377060.jpg,105.38,92.21,254.21,219.08
187,000000377060.jpg,594.13,233.92,27.96,52.79
188,000000311524.jpg,311.18,496.65,96.41,117.69
189,000000311524.jpg,159.66,417.03,93.59,152.78
190,000000311524.jpg,226.8,407.44,84.45,147.07
191,000000311524.jpg,142.19,330.32,22.25,53.57
192,000000311524.jpg,139.69,285.03,9.9,22.23
193,000000311524.jpg,403.23,489.33,76.05,120.54
194,000000311524.jpg,109.47,332.34,30.09,69.21
195,000000311524.jpg,160.33,278.08,7.85,12.8
196,000000311524.jpg,124.84,302.69,16.56,33.94
197,000000196839.jpg,351.48,237.17,96.57,64.51
198,000000196839.jpg,269.6,281.18,105.51,105.51
199,000000196839.jpg,489.9,275.65,93.65,112.84
200,000000524525.jpg,196.95,195.43,52.01,36.3
201,000000090350.jpg,173.42,132.13,284.9,505.12
202,000000090350.jpg,2.88,233.99,155.32,202.78
203,000000090352.jpg,90.32,55.91,182.8,434.41
204,000000090352.jpg,2.15,129.03,55.91,140.86
205,000000549109.jpg,77.99,76.31,50.46,29.35
206,000000450806.jpg,207.85,171.6,129.96,82.37
207,000000450806.jpg,230.12,162.47,143.49,65.94
208,000000450806.jpg,354.12,153.49,33.24,75.54
209,000000450806.jpg,30.15,177.04,131.46,100.1
210,000000450806.jpg,387.13,166.58,26.45,38.87
211,000000450806.jpg,150.29,167.14,34.17,26.19
212,000000450806.jpg,133.08,188.15,68.75,92.85
213,000000319735.jpg,0.0,1.37,233.51,411.07
214,000000073976.jpg,160.45,332.76,14.78,12.43
215,000000073976.jpg,247.45,299.71,11.66,8.88
216,000000434423.jpg,179.03,146.81,156.83,98.11
217,000000434423.jpg,67.64,155.13,99.45,72.78
218,000000262394.jpg,69.76,127.09,110.19,105.23
219,000000426229.jpg,311.69,113.27,288.16,219.74
220,000000303357.jpg,294.71,19.83,209.5,468.69
221,000000344319.jpg,45.0,92.98,146.92,299.35
222,000000344319.jpg,247.41,142.43,206.34,231.17
223,000000344319.jpg,463.46,112.69,106.17,275.14
224,000000344319.jpg,553.7,153.02,74.23,125.92
225,000000344319.jpg,156.41,104.65,166.0,303.22
226,000000147712.jpg,135.08,84.62,263.18,271.72
227,000000147712.jpg,415.11,17.04,224.89,338.38
228,000000532748.jpg,43.25,191.52,444.25,370.87
229,000000147735.jpg,48.07,171.12,466.95,387.3
230,000000327961.jpg,123.0,401.31,85.13,98.61
231,000000327961.jpg,261.11,293.04,113.89,149.3
232,000000327961.jpg,60.68,324.25,13.16,24.12
233,000000295194.jpg,382.09,157.95,235.82,243.63
234,000000295194.jpg,50.61,162.43,164.73,136.19
235,000000418085.jpg,65.92,218.37,156.57,234.85
236,000000581929.jpg,243.88,162.92,203.14,176.01
237,000000581929.jpg,330.1,113.01,53.71,44.38
238,000000106794.jpg,83.69,191.03,211.05,179.21
239,000000360747.jpg,459.7,218.79,21.16,51.93
240,000000360747.jpg,450.99,209.18,27.83,27.83
241,000000360747.jpg,481.5,213.73,34.98,51.99
242,000000139561.jpg,172.07,97.44,316.15,377.3
243,000000131373.jpg,157.81,260.35,35.15,27.99
244,000000336172.jpg,147.61,115.32,108.87,269.4
245,000000139567.jpg,39.44,454.22,37.19,64.81
246,000000360751.jpg,220.2,56.93,419.8,415.7
247,000000409903.jpg,290.74,115.69,115.24,204.13
248,000000409903.jpg,233.47,109.6,114.54,130.97
249,000000401720.jpg,20.65,201.04,375.74,372.99
250,000000131388.jpg,378.31,142.88,38.18,21.98
251,000000131388.jpg,367.89,129.02,19.73,22.85
252,000000131388.jpg,313.63,144.15,10.45,20.73
253,000000131388.jpg,256.66,157.1,21.59,23.35
254,000000131388.jpg,387.93,136.87,21.77,8.7
255,000000131388.jpg,243.57,121.45,21.91,19.38
256,000000131388.jpg,424.35,127.68,14.72,23.65
257,000000131388.jpg,341.69,143.92,8.43,17.62
258,000000442685.jpg,155.57,248.09,166.6,359.94
259,000000442685.jpg,79.08,255.14,121.26,333.22
260,000000393534.jpg,274.5,159.01,108.21,153.14
261,000000393534.jpg,502.01,209.74,69.52,130.7
262,000000393534.jpg,176.74,184.9,130.15,120.08
263,000000147780.jpg,52.37,202.05,138.3,224.95
264,000000147780.jpg,201.37,121.47,215.86,305.53
265,000000549194.jpg,101.71,66.21,280.19,240.85
266,000000352587.jpg,53.56,290.06,142.15,105.06
267,000000352587.jpg,361.29,236.39,248.77,208.51
268,000000147788.jpg,31.24,151.42,550.31,404.41
269,000000434509.jpg,357.58,197.69,196.51,275.97
270,000000434509.jpg,1.03,158.63,392.45,316.22
271,000000180563.jpg,104.38,30.1,199.43,391.34
272,000000213340.jpg,400.85,239.64,43.28,49.35
273,000000213340.jpg,123.81,233.99,110.96,61.07
274,000000213340.jpg,483.8,238.32,28.17,38.84
275,000000401759.jpg,203.98,346.51,150.98,139.86
276,000000401759.jpg,109.89,360.9,89.32,235.24
277,000000033127.jpg,110.24,123.72,340.43,324.47
278,000000033127.jpg,319.35,135.35,202.29,236.38
279,000000033127.jpg,402.66,105.51,133.93,104.59
280,000000549225.jpg,85.6,144.27,284.69,270.26
281,000000549225.jpg,473.65,124.39,49.99,239.63
282,000000549225.jpg,331.13,136.52,154.95,241.9
283,000000549225.jpg,246.0,163.52,51.12,58.36
284,000000549225.jpg,305.44,160.28,46.96,196.42
285,000000500076.jpg,10.41,112.76,240.27,227.27
286,000000500076.jpg,275.6,135.17,269.78,227.45
287,000000500076.jpg,391.94,142.07,233.9,210.81
288,000000500076.jpg,190.83,101.7,149.2,205.58
289,000000459117.jpg,316.94,207.17,62.18,120.9
290,000000459117.jpg,308.06,191.13,39.52,69.35
291,000000041331.jpg,251.76,160.05,143.86,258.95
292,000000016758.jpg,175.8,148.59,239.39,204.12
293,000000319863.jpg,447.45,250.69,133.15,174.31
294,000000319863.jpg,430.85,220.0,26.41,54.53
295,000000319863.jpg,402.59,194.8,11.27,22.54
296,000000319863.jpg,385.77,191.9,6.05,6.22
297,000000319863.jpg,363.8,191.97,8.16,8.23
298,000000319863.jpg,350.97,191.0,9.05,7.54
299,000000319863.jpg,421.05,201.26,10.75,16.19
300,000000319863.jpg,399.4,194.37,4.22,13.65
301,000000172406.jpg,0.93,110.48,433.57,292.45
302,000000246139.jpg,334.12,233.3,206.02,149.08
303,000000123262.jpg,491.63,333.56,69.52,48.41
304,000000008580.jpg,64.69,19.27,415.31,612.47
305,000000213381.jpg,305.3,216.78,48.53,53.77
306,000000213381.jpg,456.07,227.1,43.93,58.89
307,000000213381.jpg,213.22,213.35,26.37,45.4
308,000000213381.jpg,122.16,216.32,15.45,11.77
309,000000491910.jpg,157.59,156.61,362.46,282.68
310,000000491910.jpg,255.97,129.6,299.12,250.08
311,000000106895.jpg,101.88,17.32,397.35,330.73
312,000000106895.jpg,229.83,0.05,269.19,306.97
313,000000401812.jpg,196.82,83.96,141.76,382.62
314,000000401812.jpg,69.03,98.8,133.76,356.67
